citation,name,publisher,cite_type,edition1,edition2,edition3,edition4,edition5,edition6,start_e1,start_e2,start_e3,start_e4,start_e5,start_e6,end_e1,end_e2,end_e3,end_e4,end_e5,end_e6,mlz_jurisdictions,variations,href,notes
C.C.P.A.,Court of Customs and Patent Appeals Reports,,specialty,C.C.P.A.,,,,,,1929-01-01T00:00:00,,,,,,1982-12-31T00:00:00,,,,,,us:c;court.customs.patent.appeals,,,
C.I.T.,Court of International Trade Reports,,specialty,C.I.T.,,,,,,1750-01-01T00:00:00,,,,,,,,,,,,,,,
C.M.A.,Decisions of the United States Court of Military Appeals,,specialty,C.M.A.,,,,,,1951-01-01T00:00:00,,,,,,1975-12-31T00:00:00,,,,,,us:c;court.appeals.armed.forces,,,
C.M.R.,Court Martial Records,,specialty,C.M.R.,,,,,,1951-01-01T00:00:00,,,,,,1975-12-31T00:00:00,,,,,,us:c;courts.martial,,,
CAAF LEXIS,LexisNexis Court of Appeals for the Armed Forces,,specialty,CAAF LEXIS,,,,,,1750-01-01T00:00:00,,,,,,,,,,,,us:c;court.appeals.armed.forces,,,
CCA LEXIS,LexisNexis United States Court of Criminal Appeals,,specialty,CCA LEXIS,,,,,,1951-01-01T00:00:00,,,,,,,,,,,,us:c;court.criminal.appeals.armed.forces,,,
CCH OSHD,Occupational Safety and Health Decisions (CCH),,specialty,CCH OSHD,,,,,,1750-01-01T00:00:00,,,,,,,,,,,,,"O.S.H. Dec. (CCH), O.S.H.D., O.S.H.D. (CCH), O.S.H.Dec. (CCH), OSHD (CCH)",https://law.resource.org/pub/us/code/blue/IndigoBook.html#T2,
CCPA LEXIS,LexisNexis United States Court of Customs and Patent Appeals,,specialty,CCPA LEXIS,,,,,,1910-01-01T00:00:00,,,,,,1982-09-30T00:00:00,,,,,,us:c;court.customs.patent.appeals,Ct. Cust. LEXIS,,
CIT,Neutral citation for Court of International Trade,,neutral,CIT,,,,,,1750-01-01T00:00:00,,,,,,,,,,,,,,,
CMA LEXIS,LexisNexis United States Court of Military Appeals,,specialty,CMA LEXIS,,,,,,1750-01-01T00:00:00,,,,,,,,,,,,us:c;court.appeals.armed.forces,,,
CMR LEXIS,LexisNexis United States Court of Military Review,,specialty,CMR LEXIS,,,,,,1951-01-01T00:00:00,,,,,,,,,,,,us:c;court.military.review,,,
CO,Colorado Neutral Citation,,neutral,CO,,,,,,1750-01-01T00:00:00,,,,,,,,,,,,us:co;supreme.court,,,
COA,Colorado Court of Appeals Neutral Citation,,neutral,COA,,,,,,1750-01-01T00:00:00,,,,,,,,,,,,us:co;court.appeals,,,
Cai. Cas.,Caines' Cases,,state,Cai. Cas.,,,,,,1796-01-01T00:00:00,,,,,,1805-12-31T00:00:00,,,,,,us:ny;court.appeals,"Cai., Cai.Cas.Err., Cain., Cain. Rep., Caines, Caines (N.Y.), Caines Cas., Caines Rep., N.Y.Cas.Err.",,
Cai. R.,Caines' Reports,,state,Cai. R.,,,,,,1803-01-01T00:00:00,,,,,,1805-12-31T00:00:00,,,,,,us:ny;court.appeals,Cai.R.,,
